"sentence,tense,aspect"
France is conquering Belgium,present progressive,progressive
France is attacking Belgium,present progressive,progressive
France was attacking Belgium,past progressive,progressive
France has attacked Belgium,present perfect,perfect
France had attacked Belgium,past perfect,perfect
France will attack Belgium,future simple,progressive
France attacks Belgium,present simple,progressive
France attacked Belgium,past simple,perfect
France was conquering Belgium,past progressive,progressive
France has conquered Belgium,present perfect,perfect
France had conquered Belgium,past perfect,perfect
France will conquer Belgium,future simple,progressive
France conquers Belgium,present simple,progressive
France conquered Belgium,past simple,perfect
Amazon is shipping the parcel,present progressive,progressive
Amazon is bundling the parcel,present progressive,progressive
Amazon was bundling the parcel,past progressive,progressive
Amazon has bundled the parcel,present perfect,perfect
Amazon had bundled the parcel,past perfect,perfect
Amazon will bundle the parcel,future simple,progressive
Amazon bundles the parcel,present simple,progressive
Amazon bundled the parcel,past simple,perfect
Amazon was shipping the parcel,past progressive,progressive
Amazon has shipped the parcel,present perfect,perfect
Amazon had shipped the parcel,past perfect,perfect
Amazon will ship the parcel,future simple,progressive
Amazon ships the parcel,present simple,progressive
Amazon shipped the parcel,past simple,perfect
Austria is attacking Serbia,present progressive,progressive
Austria is bombing Serbia,present progressive,progressive
Austria was bombing Serbia,past progressive,progressive
Austria has bombed Serbia,present perfect,perfect
Austria had bombed Serbia,past perfect,perfect
Austria will bomb Serbia,future simple,progressive
Austria bombs Serbia,present simple,progressive
Austria bombed Serbia,past simple,perfect
Austria was attacking Serbia,past progressive,progressive
Austria has attacked Serbia,present perfect,perfect
Austria had attacked Serbia,past perfect,perfect
Austria will attack Serbia,future simple,progressive
Austria attacks Serbia,present simple,progressive
Austria attacked Serbia,past simple,perfect
Google is hiring Thomas,present progressive,progressive
Google is interviewing Thomas,present progressive,progressive
Google was interviewing Thomas,past progressive,progressive
Google has interviewed Thomas,present perfect,perfect
Google had interviewed Thomas,past perfect,perfect
Google will interview Thomas,future simple,progressive
Google interviews Thomas,present simple,progressive
Google interviewed Thomas,past simple,perfect
Google was hiring Thomas,past progressive,progressive
Google has hired Thomas,present perfect,perfect
Google had hired Thomas,past perfect,perfect
Google will hire Thomas,future simple,progressive
Google hires Thomas,present simple,progressive
Google hired Thomas,past simple,perfect
John is publishing the documentary,present progressive,progressive
John is filming the documentary,present progressive,progressive
John was filming the documentary,past progressive,progressive
John has filmed the documentary,present perfect,perfect
John had filmed the documentary,past perfect,perfect
John will film the documentary,future simple,progressive
John films the documentary,present simple,progressive
John filmed the documentary,past simple,perfect
John was publishing the documentary,past progressive,progressive
John has published the documentary,present perfect,perfect
John had published the documentary,past perfect,perfect
John will publish the documentary,future simple,progressive
John publishes the documentary,present simple,progressive
John published the documentary,past simple,perfect
Liverpool is winning against Arsenal,present progressive,progressive
Liverpool is competing with Arsenal,present progressive,progressive
Liverpool was competing with Arsenal,past progressive,progressive
Liverpool has competed with Arsenal,present perfect,perfect
Liverpool had competed with Arsenal,past perfect,perfect
Liverpool will compete with Arsenal,future simple,progressive
Liverpool competes with Arsenal,present simple,progressive
Liverpool competed with Arsenal,past simple,perfect
Liverpool was winning against Arsenal,past progressive,progressive
Liverpool has won against Arsenal,present perfect,perfect
Liverpool had won against Arsenal,past perfect,perfect
Liverpool will win against Arsenal,future simple,progressive
Liverpool wins against Arsenal,present simple,progressive
Liverpool won against Arsenal,past simple,perfect
Jane is seeking the file,present progressive,progressive
Jane has found the file,present perfect,perfect
Jane had found the file,past perfect,perfect
Jane will find the file,future simple,progressive
Jane finds the file,present simple,progressive
Jane found the file,past simple,perfect
Jane was seeking the file,past progressive,progressive
Jane has sought the file,present perfect,perfect
Jane had sought the file,past perfect,perfect
Jane will seek the file,future simple,progressive
Jane seeks the file,present simple,progressive
Jane sought the file,past simple,perfect
The police is prosecuting the thief,present progressive,progressive
The police is arresting the thief,present progressive,progressive
The police was arresting the thief,past progressive,progressive
The police has arrested the thief,present perfect,perfect
The police had arrested the thief,past perfect,perfect
The police will arrest the thief,future simple,progressive
The police arrests the thief,present simple,progressive
The police arrested the thief,past simple,perfect
The police was prosecuting the thief,past progressive,progressive
The police has prosecuted the thief,present perfect,perfect
The police had prosecuted the thief,past perfect,perfect
The police will prosecute the thief,future simple,progressive
The police prosecutes the thief,present simple,progressive
The police prosecuted the thief,past simple,perfect
Janet is sleeping,present progressive,progressive
Janet has awoken,present perfect,perfect
Janet had awoken,past perfect,perfect
Janet will awake,future simple,progressive
Janet awakes,present simple,progressive
Janet awoke,past simple,perfect
Janet was sleeping,past progressive,progressive
Janet has slept,present perfect,perfect
Janet had slept,past perfect,perfect
Janet will sleep,future simple,progressive
Janet sleeps,present simple,progressive
Janet slept,past simple,perfect
Peter is damaging the wall,present progressive,progressive
Peter is destroying the wall,present progressive,progressive
Peter was destroying the wall,past progressive,progressive
Peter has destroyed the wall,present perfect,perfect
Peter had destroyed the wall,past perfect,perfect
Peter will destroy the wall,future simple,progressive
Peter destroys the wall,present simple,progressive
Peter destroyed the wall,past simple,perfect
Peter was damaging the wall,past progressive,progressive
Peter has damaged the wall,present perfect,perfect
Peter had damaged the wall,past perfect,perfect
Peter will damage the wall,future simple,progressive
Peter damages the wall,present simple,progressive
Peter damaged the wall,past simple,perfect
Catherine is editing the documentary,present progressive,progressive
Catherine is filming the documentary,present progressive,progressive
Catherine was filming the documentary,past progressive,progressive
Catherine has filmed the documentary,present perfect,perfect
Catherine had filmed the documentary,past perfect,perfect
Catherine will film the documentary,future simple,progressive
Catherine films the documentary,present simple,progressive
Catherine filmed the documentary,past simple,perfect
Catherine was editing the documentary,past progressive,progressive
Catherine has edited the documentary,present perfect,perfect
Catherine had edited the documentary,past perfect,perfect
Catherine will edit the documentary,future simple,progressive
Catherine edits the documentary,present simple,progressive
Catherine edited the documentary,past simple,perfect
Jolene is meeting with Bill,present progressive,progressive
Jolene has agreed with Bill,present perfect,perfect
Jolene had agreed with Bill,past perfect,perfect
Jolene will agree with Bill,future simple,progressive
Jolene agrees with Bill,present simple,progressive
Jolene agreed with Bill,past simple,perfect
Jolene was meeting with Bill,past progressive,progressive
Jolene has met with Bill,present perfect,perfect
Jolene had met with Bill,past perfect,perfect
Jolene will meet with Bill,future simple,progressive
Jolene meets with Bill,present simple,progressive
Jolene met with Bill,past simple,perfect
The processor is compiling the program,present progressive,progressive
The processor is assembling the program,present progressive,progressive
The processor was assembling the program,past progressive,progressive
The processor has assembled the program,present perfect,perfect
The processor had assembled the program,past perfect,perfect
The processor will assemble the program,future simple,progressive
The processor assembles the program,present simple,progressive
The processor assembled the program,past simple,perfect
The processor was compiling the program,past progressive,progressive
The processor has compiled the program,present perfect,perfect
The processor had compiled the program,past perfect,perfect
The processor will compile the program,future simple,progressive
The processor compiles the program,present simple,progressive
The processor compiled the program,past simple,perfect
Anne has agreed with Barbara,present perfect,perfect
Anne is talking to Barbara,present progressive,progressive
Anne was talking to Barbara,past progressive,progressive
Anne has talked to Barbara,present perfect,perfect
Anne had talked to Barbara,past perfect,perfect
Anne will talk to Barbara,future simple,progressive
Anne talks to Barbara,present simple,progressive
Anne talked to Barbara,past simple,perfect
Anne had agreed with Barbara,past perfect,perfect
Anne will agree with Barbara,future simple,progressive
Anne agrees with Barbara,present simple,progressive
Anne agreed with Barbara,past simple,perfect
Jack is searching for the map,present progressive,progressive
Jack has found the map,present perfect,perfect
Jack had found the map,past perfect,perfect
Jack will find the map,future simple,progressive
Jack finds the map,present simple,progressive
Jack found the map,past simple,perfect
Jack was searching for the map,past progressive,progressive
Jack has searched for the map,present perfect,perfect
