ID,EID,Original_Sentence,Modal_Verb,Marked_Sentence_English,Marked_Sentence_Japanese,Source_Modal,Tested_Modal,Transformation_Strategy,Transformation_Category,Palmer_Annotations,Quirk_Annotations,Palmer_Expected,Quirk_Expected,Grammaticality_Expected,Completed,Annotation_Notes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_orig,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,will,I bought a lottery ticket and have a feeling I *will* win.,"",will,will,original,original,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",epistemic,prediction,yes,1,Original sentence from dataset. Modal: 'will'. Verified and complete.
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_can,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,can,I bought a lottery ticket and have a feeling I *can* win.,"",will,can,prediction_to_ability_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'can'. Strategy: prediction_to_ability_substitution. Please verify grammaticality and classify modal categories.
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_could,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,could,I bought a lottery ticket and have a feeling I *could* win.,"",will,could,prediction_to_ability_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'could'. Strategy: prediction_to_ability_substitution. Please verify grammaticality and classify modal categories.
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_may,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,may,I bought a lottery ticket and have a feeling I *may* win.,"",will,may,prediction_to_permission_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'may'. Strategy: prediction_to_permission_substitution. Please verify grammaticality and classify modal categories.
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_might,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,might,I bought a lottery ticket and have a feeling I *might* win.,"",will,might,prediction_to_possibility,entailment,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,partial,0,Modal substitution: 'will' → 'might'. Strategy: prediction_to_possibility. Please verify grammaticality and classify modal categories.
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_must,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,must,I bought a lottery ticket and have a feeling I *must* win.,"",will,must,prediction_to_necessity_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'must'. Strategy: prediction_to_necessity_substitution. Please verify grammaticality and classify modal categories.
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_shall,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,shall,I bought a lottery ticket and have a feeling I *shall* win.,"",will,shall,prediction_to_obligation_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'shall'. Strategy: prediction_to_obligation_substitution. Please verify grammaticality and classify modal categories.
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_should,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,should,I bought a lottery ticket and have a feeling I *should* win.,"",will,should,prediction_to_advice_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'should'. Strategy: prediction_to_advice_substitution. Please verify grammaticality and classify modal categories.
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_would,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,would,I bought a lottery ticket and have a feeling I *would* win.,"",will,would,prediction_to_conditional_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'would'. Strategy: prediction_to_conditional_substitution. Please verify grammaticality and classify modal categories.
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_ought_to,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,ought to,I bought a lottery ticket and have a feeling I *ought to* win.,"",will,ought to,prediction_to_advice_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'ought to'. Strategy: prediction_to_advice_substitution. Please verify grammaticality and classify modal categories.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_orig,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,must,That is really sweet of them. *Must* have been a big party.,"",must,must,original,original,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",epistemic,necessity,yes,1,Original sentence from dataset. Modal: 'must'. Verified and complete.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_can,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,can,That is really sweet of them. *can* have been a big party.,"",must,can,necessity_to_ability_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",unknown,unknown,yes,0,Modal substitution: 'must' → 'can'. Strategy: necessity_to_ability_substitution. Please verify grammaticality and classify modal categories.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_could,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,could,That is really sweet of them. *could* have been a big party.,"",must,could,necessity_to_ability_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",unknown,unknown,yes,0,Modal substitution: 'must' → 'could'. Strategy: necessity_to_ability_substitution. Please verify grammaticality and classify modal categories.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_may,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,may,That is really sweet of them. *may* have been a big party.,"",must,may,necessity_to_permission,entailment,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",unknown,unknown,yes,0,Modal substitution: 'must' → 'may'. Strategy: necessity_to_permission. Please verify grammaticality and classify modal categories.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_might,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,might,That is really sweet of them. *might* have been a big party.,"",must,might,necessity_to_possibility,entailment,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",unknown,unknown,partial,0,Modal substitution: 'must' → 'might'. Strategy: necessity_to_possibility. Please verify grammaticality and classify modal categories.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_shall,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,shall,That is really sweet of them. *shall* have been a big party.,"",must,shall,necessity_to_obligation_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",unknown,unknown,yes,0,Modal substitution: 'must' → 'shall'. Strategy: necessity_to_obligation_substitution. Please verify grammaticality and classify modal categories.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_should,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,should,That is really sweet of them. *should* have been a big party.,"",must,should,necessity_to_advice,entailment,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",unknown,unknown,yes,0,Modal substitution: 'must' → 'should'. Strategy: necessity_to_advice. Please verify grammaticality and classify modal categories.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_will,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,will,That is really sweet of them. *will* have been a big party.,"",must,will,necessity_to_prediction_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",unknown,unknown,yes,0,Modal substitution: 'must' → 'will'. Strategy: necessity_to_prediction_substitution. Please verify grammaticality and classify modal categories.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_would,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,would,That is really sweet of them. *would* have been a big party.,"",must,would,necessity_to_conditional_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",unknown,unknown,yes,0,Modal substitution: 'must' → 'would'. Strategy: necessity_to_conditional_substitution. Please verify grammaticality and classify modal categories.
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_ought_to,0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b,That is really sweet of them. Must have been a big party.,ought to,That is really sweet of them. *ought to* have been a big party.,"",must,ought to,necessity_to_advice,entailment,"[""epistemic"", ""epistemic"", ""epistemic""]","[""necessity"", ""necessity"", ""necessity""]",unknown,unknown,yes,0,Modal substitution: 'must' → 'ought to'. Strategy: necessity_to_advice. Please verify grammaticality and classify modal categories.
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_orig,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),can,So you *can* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,can,original,original,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",dynamic,ability,yes,1,Original sentence from dataset. Modal: 'can'. Verified and complete.
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_could,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),could,So you *could* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,could,ability_weakening,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",unknown,unknown,yes,0,Modal substitution: 'can' → 'could'. Strategy: ability_weakening. Please verify grammaticality and classify modal categories.
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_may,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),may,So you *may* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,may,ability_to_permission,entailment,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",unknown,unknown,yes,0,Modal substitution: 'can' → 'may'. Strategy: ability_to_permission. Please verify grammaticality and classify modal categories.
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_might,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),might,So you *might* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,might,ability_to_possibility,entailment,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",unknown,unknown,yes,0,Modal substitution: 'can' → 'might'. Strategy: ability_to_possibility. Please verify grammaticality and classify modal categories.
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_must,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),must,So you *must* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,must,ability_to_necessity_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",unknown,unknown,yes,0,Modal substitution: 'can' → 'must'. Strategy: ability_to_necessity_substitution. Please verify grammaticality and classify modal categories.
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_shall,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),shall,So you *shall* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,shall,ability_to_obligation_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",unknown,unknown,yes,0,Modal substitution: 'can' → 'shall'. Strategy: ability_to_obligation_substitution. Please verify grammaticality and classify modal categories.
