file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_TEA_sae_layer0.parquet,entailment,0.25,1000,0.0001,none,11138,0,32768,2,0.7907968574635241,0.7877019748653501,76,41.2832088470459,
qp_TEA_sae_layer0.parquet,entailment,0.25,2000,0.0001,none,11138,0,32768,2,0.7907968574635241,0.7877019748653501,76,41.367594718933105,
qp_TEA_sae_layer0.parquet,entailment,0.25,3000,0.0001,none,11138,0,32768,2,0.7907968574635241,0.7877019748653501,76,41.47653889656067,
qp_TEA_sae_layer0.parquet,entailment,0.25,4000,0.0001,none,11138,0,32768,2,0.7907968574635241,0.7877019748653501,76,41.531251430511475,
qp_TEA_sae_layer0.parquet,entailment,0.25,5000,0.0001,none,11138,0,32768,2,0.7907968574635241,0.7877019748653501,76,41.082584381103516,
qp_TEA_sae_layer0.parquet,entailment,0.5,1000,0.0001,none,11138,0,32768,2,0.7994388327721661,0.7989228007181328,131,49.054463148117065,
qp_TEA_sae_layer0.parquet,entailment,0.5,2000,0.0001,none,11138,0,32768,2,0.7994388327721661,0.7989228007181328,130,96.35925078392029,
qp_TEA_sae_layer0.parquet,entailment,0.5,3000,0.0001,none,11138,0,32768,2,0.7994388327721661,0.7989228007181328,130,99.28786277770996,
qp_TEA_sae_layer0.parquet,entailment,0.5,4000,0.0001,none,11138,0,32768,2,0.7994388327721661,0.7989228007181328,130,99.26153349876404,
qp_TEA_sae_layer0.parquet,entailment,0.5,5000,0.0001,none,11138,0,32768,2,0.7994388327721661,0.7989228007181328,130,100.37783098220825,
qp_TEA_sae_layer0.parquet,entailment,1.0,1000,0.0001,none,11138,0,32768,2,0.8048260381593715,0.8061041292639138,209,51.61436986923218,
qp_TEA_sae_layer0.parquet,entailment,1.0,2000,0.0001,none,11138,0,32768,2,0.804601571268238,0.8070017953321365,194,98.74465799331665,
qp_TEA_sae_layer0.parquet,entailment,1.0,3000,0.0001,none,11138,0,32768,2,0.804601571268238,0.8070017953321365,194,98.67591309547424,
qp_TEA_sae_layer0.parquet,entailment,1.0,4000,0.0001,none,11138,0,32768,2,0.804601571268238,0.8070017953321365,194,97.89452791213989,
qp_TEA_sae_layer0.parquet,entailment,1.0,5000,0.0001,none,11138,0,32768,2,0.804601571268238,0.8070017953321365,194,98.26603651046753,
qp_TEA_sae_layer1.parquet,entailment,0.25,1000,0.0001,none,11138,0,32759,2,0.7938271604938272,0.7908438061041293,62,35.647499561309814,
qp_TEA_sae_layer1.parquet,entailment,0.25,2000,0.0001,none,11138,0,32759,2,0.7938271604938272,0.7908438061041293,62,35.60346555709839,
qp_TEA_sae_layer1.parquet,entailment,0.25,3000,0.0001,none,11138,0,32759,2,0.7938271604938272,0.7908438061041293,62,35.44747853279114,
qp_TEA_sae_layer1.parquet,entailment,0.25,4000,0.0001,none,11138,0,32759,2,0.7938271604938272,0.7908438061041293,62,35.39914798736572,
qp_TEA_sae_layer1.parquet,entailment,0.25,5000,0.0001,none,11138,0,32759,2,0.7938271604938272,0.7908438061041293,62,35.388301372528076,
qp_TEA_sae_layer1.parquet,entailment,0.5,1000,0.0001,none,11138,0,32759,2,0.8072951739618406,0.8016157989228008,113,46.236912965774536,
qp_TEA_sae_layer1.parquet,entailment,0.5,2000,0.0001,none,11138,0,32759,2,0.8074074074074075,0.8016157989228008,112,48.96028137207031,
qp_TEA_sae_layer1.parquet,entailment,0.5,3000,0.0001,none,11138,0,32759,2,0.8074074074074075,0.8016157989228008,112,49.064220666885376,
qp_TEA_sae_layer1.parquet,entailment,0.5,4000,0.0001,none,11138,0,32759,2,0.8074074074074075,0.8016157989228008,112,49.06157660484314,
qp_TEA_sae_layer1.parquet,entailment,0.5,5000,0.0001,none,11138,0,32759,2,0.8074074074074075,0.8016157989228008,112,49.15346693992615,
qp_TEA_sae_layer1.parquet,entailment,1.0,1000,0.0001,none,11138,0,32759,2,0.8159371492704826,0.8038599640933572,168,40.269540786743164,
qp_TEA_sae_layer1.parquet,entailment,1.0,2000,0.0001,none,11138,0,32759,2,0.8159371492704826,0.8038599640933572,168,40.217833518981934,
qp_TEA_sae_layer1.parquet,entailment,1.0,3000,0.0001,none,11138,0,32759,2,0.8159371492704826,0.8038599640933572,168,40.290865659713745,
qp_TEA_sae_layer1.parquet,entailment,1.0,4000,0.0001,none,11138,0,32759,2,0.8159371492704826,0.8038599640933572,168,40.30099678039551,
qp_TEA_sae_layer1.parquet,entailment,1.0,5000,0.0001,none,11138,0,32759,2,0.8159371492704826,0.8038599640933572,168,40.65926432609558,
qp_TEA_sae_layer10.parquet,entailment,0.25,1000,0.0001,none,11138,0,32768,2,0.8179573512906846,0.8065529622980251,95,18.225380182266235,
qp_TEA_sae_layer10.parquet,entailment,0.25,2000,0.0001,none,11138,0,32768,2,0.8179573512906846,0.8065529622980251,95,18.369568824768066,
qp_TEA_sae_layer10.parquet,entailment,0.25,3000,0.0001,none,11138,0,32768,2,0.8178451178451178,0.8065529622980251,96,18.16386103630066,
qp_TEA_sae_layer10.parquet,entailment,0.25,4000,0.0001,none,11138,0,32768,2,0.8178451178451178,0.8065529622980251,96,18.11228346824646,
qp_TEA_sae_layer10.parquet,entailment,0.25,5000,0.0001,none,11138,0,32768,2,0.8178451178451178,0.8065529622980251,96,18.094856023788452,
qp_TEA_sae_layer10.parquet,entailment,0.5,1000,0.0001,none,11138,0,32768,2,0.8399551066217733,0.8348294434470377,179,25.83095955848694,
qp_TEA_sae_layer10.parquet,entailment,0.5,2000,0.0001,none,11138,0,32768,2,0.8399551066217733,0.8348294434470377,179,26.060805559158325,
qp_TEA_sae_layer10.parquet,entailment,0.5,3000,0.0001,none,11138,0,32768,2,0.8399551066217733,0.8348294434470377,179,25.891881704330444,
qp_TEA_sae_layer10.parquet,entailment,0.5,4000,0.0001,none,11138,0,32768,2,0.8399551066217733,0.8348294434470377,179,25.86947464942932,
qp_TEA_sae_layer10.parquet,entailment,0.5,5000,0.0001,none,11138,0,32768,2,0.8399551066217733,0.8348294434470377,179,25.970783948898315,
qp_TEA_sae_layer10.parquet,entailment,1.0,1000,0.0001,none,11138,0,32768,2,0.8624017957351291,0.8464991023339318,305,39.212687969207764,
qp_TEA_sae_layer10.parquet,entailment,1.0,2000,0.0001,none,11138,0,32768,2,0.8624017957351291,0.8464991023339318,305,39.32534742355347,
qp_TEA_sae_layer10.parquet,entailment,1.0,3000,0.0001,none,11138,0,32768,2,0.8624017957351291,0.8464991023339318,305,39.225521087646484,
qp_TEA_sae_layer10.parquet,entailment,1.0,4000,0.0001,none,11138,0,32768,2,0.8624017957351291,0.8464991023339318,305,39.24307084083557,
qp_TEA_sae_layer10.parquet,entailment,1.0,5000,0.0001,none,11138,0,32768,2,0.8622895622895623,0.8464991023339318,306,39.2951545715332,
qp_TEA_sae_layer11.parquet,entailment,0.25,1000,0.0001,none,11138,0,32767,2,0.8181818181818182,0.8070017953321365,105,11.319000482559204,
qp_TEA_sae_layer11.parquet,entailment,0.25,2000,0.0001,none,11138,0,32767,2,0.8181818181818182,0.8074506283662477,105,11.349236011505127,
qp_TEA_sae_layer11.parquet,entailment,0.25,3000,0.0001,none,11138,0,32767,2,0.8181818181818182,0.8074506283662477,105,11.34238338470459,
qp_TEA_sae_layer11.parquet,entailment,0.25,4000,0.0001,none,11138,0,32767,2,0.8181818181818182,0.8074506283662477,105,11.265698909759521,
qp_TEA_sae_layer11.parquet,entailment,0.25,5000,0.0001,none,11138,0,32767,2,0.8181818181818182,0.8074506283662477,105,11.335259437561035,
qp_TEA_sae_layer11.parquet,entailment,0.5,1000,0.0001,none,11138,0,32767,2,0.8451178451178452,0.8339317773788151,195,39.56991958618164,
qp_TEA_sae_layer11.parquet,entailment,0.5,2000,0.0001,none,11138,0,32767,2,0.8451178451178452,0.8339317773788151,195,39.44500231742859,
qp_TEA_sae_layer11.parquet,entailment,0.5,3000,0.0001,none,11138,0,32767,2,0.8451178451178452,0.8339317773788151,195,39.321234941482544,
qp_TEA_sae_layer11.parquet,entailment,0.5,4000,0.0001,none,11138,0,32767,2,0.8451178451178452,0.8339317773788151,195,39.73459315299988,
