file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,classes,fit_sec,note
qp_modality_sae_layer0.parquet,modal_verb,1.0,1000,0.001,none,4840,0,32768,10,1.0,1.0,can|could|may|might|must|ought to|shall|should|will|would,47.868016481399536,
qp_modality_sae_layer0.parquet,modal_verb,1.0,1000,0.001,balanced,4840,0,32768,10,1.0,1.0,can|could|may|might|must|ought to|shall|should|will|would,47.35523080825806,
qp_modality_sae_layer0.parquet,modal_verb,1.0,2000,0.0001,none,4840,0,32768,10,1.0,1.0,can|could|may|might|must|ought to|shall|should|will|would,247.184184551239,
qp_modality_sae_layer0.parquet,modal_verb,1.0,2000,0.0001,balanced,4840,0,32768,10,1.0,1.0,can|could|may|might|must|ought to|shall|should|will|would,249.4626042842865,
qp_modality_sae_layer0.parquet,palmer_expected,1.0,1000,0.001,none,484,4356,32768,3,0.8914728682170543,0.8762886597938144,deontic|dynamic|epistemic,3.4484305381774902,
qp_modality_sae_layer0.parquet,palmer_expected,1.0,1000,0.001,balanced,484,4356,32768,3,0.8656330749354005,0.8556701030927835,deontic|dynamic|epistemic,3.3845503330230713,
qp_modality_sae_layer0.parquet,palmer_expected,1.0,2000,0.0001,none,484,4356,32768,3,0.8914728682170543,0.8762886597938144,deontic|dynamic|epistemic,11.303251266479492,
qp_modality_sae_layer0.parquet,palmer_expected,1.0,2000,0.0001,balanced,484,4356,32768,3,0.8656330749354005,0.8556701030927835,deontic|dynamic|epistemic,11.310665130615234,
qp_modality_sae_layer0.parquet,quirk_expected,1.0,1000,0.001,none,481,4359,32768,6,0.8984375,0.8350515463917526,ability|necessity|obligation|possibility|prediction|volition,5.259328126907349,
qp_modality_sae_layer0.parquet,quirk_expected,1.0,1000,0.001,balanced,481,4359,32768,6,0.9140625,0.8762886597938144,ability|necessity|obligation|possibility|prediction|volition,5.495914936065674,
qp_modality_sae_layer0.parquet,quirk_expected,1.0,2000,0.0001,none,481,4359,32768,6,0.9010416666666666,0.845360824742268,ability|necessity|obligation|possibility|prediction|volition,17.37159752845764,
qp_modality_sae_layer0.parquet,quirk_expected,1.0,2000,0.0001,balanced,481,4359,32768,6,0.921875,0.8762886597938144,ability|necessity|obligation|possibility|prediction|volition,17.44573140144348,
qp_modality_sae_layer0.parquet,palmer_quirk_pair,1.0,1000,0.001,none,478,4362,32768,8,0.8769633507853403,0.7916666666666666,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,5.884716510772705,
qp_modality_sae_layer0.parquet,palmer_quirk_pair,1.0,1000,0.001,balanced,478,4362,32768,8,0.918848167539267,0.7708333333333334,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,5.578839063644409,
qp_modality_sae_layer0.parquet,palmer_quirk_pair,1.0,2000,0.0001,none,478,4362,32768,8,0.8795811518324608,0.8125,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,20.249267101287842,
qp_modality_sae_layer0.parquet,palmer_quirk_pair,1.0,2000,0.0001,balanced,478,4362,32768,8,0.9214659685863874,0.7708333333333334,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,20.384989976882935,
qp_modality_sae_layer1.parquet,modal_verb,1.0,1000,0.001,none,4840,0,32768,10,1.0,1.0,can|could|may|might|must|ought to|shall|should|will|would,36.10130596160889,
qp_modality_sae_layer1.parquet,modal_verb,1.0,1000,0.001,balanced,4840,0,32768,10,1.0,1.0,can|could|may|might|must|ought to|shall|should|will|would,36.364949464797974,
qp_modality_sae_layer1.parquet,modal_verb,1.0,2000,0.0001,none,4840,0,32768,10,1.0,1.0,can|could|may|might|must|ought to|shall|should|will|would,207.04707860946655,
qp_modality_sae_layer1.parquet,modal_verb,1.0,2000,0.0001,balanced,4840,0,32768,10,1.0,1.0,can|could|may|might|must|ought to|shall|should|will|would,199.52722597122192,
qp_modality_sae_layer1.parquet,palmer_expected,1.0,1000,0.001,none,484,4356,32768,3,0.8888888888888888,0.8556701030927835,deontic|dynamic|epistemic,2.4630985260009766,
