file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_tense_sae_layer0.parquet,tense,0.25,1000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,11,8.764958143234253,
qp_tense_sae_layer0.parquet,tense,0.25,2000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,9,17.073750495910645,
qp_tense_sae_layer0.parquet,tense,0.25,3000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,8,21.469679355621338,
qp_tense_sae_layer0.parquet,tense,0.25,4000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,8,21.29667854309082,
qp_tense_sae_layer0.parquet,tense,0.25,5000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,8,21.719539165496826,
qp_tense_sae_layer0.parquet,tense,0.5,1000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,16,8.669265747070312,
qp_tense_sae_layer0.parquet,tense,0.5,2000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,13,17.43716287612915,
qp_tense_sae_layer0.parquet,tense,0.5,3000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,12,25.95029878616333,
qp_tense_sae_layer0.parquet,tense,0.5,4000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,10,32.15995240211487,
qp_tense_sae_layer0.parquet,tense,0.5,5000,0.0001,none,1411,0,32768,7,0.8936170212765957,0.9081272084805654,10,32.03810000419617,
qp_tense_sae_layer0.parquet,tense,1.0,1000,0.0001,none,1411,0,32768,7,0.9228723404255319,0.9151943462897526,48,8.781226634979248,
qp_tense_sae_layer0.parquet,tense,1.0,2000,0.0001,none,1411,0,32768,7,0.9228723404255319,0.9151943462897526,39,17.387184381484985,
qp_tense_sae_layer0.parquet,tense,1.0,3000,0.0001,none,1411,0,32768,7,0.9228723404255319,0.9151943462897526,32,26.4631507396698,
qp_tense_sae_layer0.parquet,tense,1.0,4000,0.0001,none,1411,0,32768,7,0.9228723404255319,0.9151943462897526,31,33.087663888931274,
qp_tense_sae_layer0.parquet,tense,1.0,5000,0.0001,none,1411,0,32768,7,0.9228723404255319,0.9151943462897526,31,33.453166484832764,
qp_tense_sae_layer0.parquet,aspect,0.25,1000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,7,1.8748822212219238,
qp_tense_sae_layer0.parquet,aspect,0.25,2000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,7,1.8749101161956787,
qp_tense_sae_layer0.parquet,aspect,0.25,3000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,7,1.8766953945159912,
qp_tense_sae_layer0.parquet,aspect,0.25,4000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,7,1.871633768081665,
qp_tense_sae_layer0.parquet,aspect,0.25,5000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,7,1.8725457191467285,
qp_tense_sae_layer0.parquet,aspect,0.5,1000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,12,2.96370792388916,
qp_tense_sae_layer0.parquet,aspect,0.5,2000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,10,3.738845109939575,
qp_tense_sae_layer0.parquet,aspect,0.5,3000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,10,3.6961770057678223,
qp_tense_sae_layer0.parquet,aspect,0.5,4000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,10,3.7084991931915283,
qp_tense_sae_layer0.parquet,aspect,0.5,5000,0.0001,none,1411,0,32768,2,0.899822695035461,0.9151943462897526,10,3.706787347793579,
qp_tense_sae_layer0.parquet,aspect,1.0,1000,0.0001,none,1411,0,32768,2,0.9335106382978723,0.9328621908127208,30,3.015808582305908,
qp_tense_sae_layer0.parquet,aspect,1.0,2000,0.0001,none,1411,0,32768,2,0.9335106382978723,0.9328621908127208,27,5.678508758544922,
qp_tense_sae_layer0.parquet,aspect,1.0,3000,0.0001,none,1411,0,32768,2,0.9335106382978723,0.9328621908127208,27,5.673394203186035,
qp_tense_sae_layer0.parquet,aspect,1.0,4000,0.0001,none,1411,0,32768,2,0.9335106382978723,0.9328621908127208,27,5.697899341583252,
qp_tense_sae_layer0.parquet,aspect,1.0,5000,0.0001,none,1411,0,32768,2,0.9335106382978723,0.9328621908127208,27,5.70232367515564,
qp_tense_sae_layer1.parquet,tense,0.25,1000,0.0001,none,1411,0,32759,7,0.9627659574468085,0.9611307420494699,11,4.315184831619263,
qp_tense_sae_layer1.parquet,tense,0.25,2000,0.0001,none,1411,0,32759,7,0.9627659574468085,0.9611307420494699,11,4.4548866748809814,
qp_tense_sae_layer1.parquet,tense,0.25,3000,0.0001,none,1411,0,32759,7,0.9627659574468085,0.9611307420494699,11,4.464350938796997,
qp_tense_sae_layer1.parquet,tense,0.25,4000,0.0001,none,1411,0,32759,7,0.9627659574468085,0.9611307420494699,11,4.459024429321289,
qp_tense_sae_layer1.parquet,tense,0.25,5000,0.0001,none,1411,0,32759,7,0.9627659574468085,0.9611307420494699,11,4.389025449752808,
qp_tense_sae_layer1.parquet,tense,0.5,1000,0.0001,none,1411,0,32759,7,0.9645390070921985,0.9646643109540636,15,7.741769552230835,
