"sentence,tense,aspect"
France is conquering Belgium,present progressive,progressive
France is attacking Belgium,present progressive,progressive
France is conquering Belgium,present progressive,progressive
France was attacking Belgium,past progressive,progressive
France is conquering Belgium,present progressive,progressive
France has attacked Belgium,present perfect,perfect
France is conquering Belgium,present progressive,progressive
France had attacked Belgium,past perfect,perfect
France is conquering Belgium,present progressive,progressive
France will attack Belgium,future simple,progressive
France is conquering Belgium,present progressive,progressive
France attacks Belgium,present simple,progressive
France is conquering Belgium,present progressive,progressive
France attacked Belgium,past simple,perfect
France was conquering Belgium,past progressive,progressive
France is attacking Belgium,present progressive,progressive
France was conquering Belgium,past progressive,progressive
France was attacking Belgium,past progressive,progressive
France was conquering Belgium,past progressive,progressive
France has attacked Belgium,present perfect,perfect
France was conquering Belgium,past progressive,progressive
France had attacked Belgium,past perfect,perfect
France was conquering Belgium,past progressive,progressive
France will attack Belgium,future simple,progressive
France was conquering Belgium,past progressive,progressive
France attacks Belgium,present simple,progressive
France was conquering Belgium,past progressive,progressive
France attacked Belgium,past simple,perfect
France has conquered Belgium,present perfect,perfect
France is attacking Belgium,present progressive,progressive
France has conquered Belgium,present perfect,perfect
France was attacking Belgium,past progressive,progressive
France has conquered Belgium,present perfect,perfect
France has attacked Belgium,present perfect,perfect
France has conquered Belgium,present perfect,perfect
France had attacked Belgium,past perfect,perfect
France has conquered Belgium,present perfect,perfect
France will attack Belgium,future simple,progressive
France has conquered Belgium,present perfect,perfect
France attacks Belgium,present simple,progressive
France has conquered Belgium,present perfect,perfect
France attacked Belgium,past simple,perfect
France had conquered Belgium,past perfect,perfect
France is attacking Belgium,present progressive,progressive
France had conquered Belgium,past perfect,perfect
France was attacking Belgium,past progressive,progressive
France had conquered Belgium,past perfect,perfect
France has attacked Belgium,present perfect,perfect
France had conquered Belgium,past perfect,perfect
France had attacked Belgium,past perfect,perfect
France had conquered Belgium,past perfect,perfect
France will attack Belgium,future simple,progressive
France had conquered Belgium,past perfect,perfect
France attacks Belgium,present simple,progressive
France had conquered Belgium,past perfect,perfect
France attacked Belgium,past simple,perfect
France will conquer Belgium,future simple,progressive
France is attacking Belgium,present progressive,progressive
France will conquer Belgium,future simple,progressive
France was attacking Belgium,past progressive,progressive
France will conquer Belgium,future simple,progressive
France has attacked Belgium,present perfect,perfect
France will conquer Belgium,future simple,progressive
France had attacked Belgium,past perfect,perfect
France will conquer Belgium,future simple,progressive
France will attack Belgium,future simple,progressive
France will conquer Belgium,future simple,progressive
France attacks Belgium,present simple,progressive
France will conquer Belgium,future simple,progressive
France attacked Belgium,past simple,perfect
France conquers Belgium,present simple,progressive
France is attacking Belgium,present progressive,progressive
France conquers Belgium,present simple,progressive
France was attacking Belgium,past progressive,progressive
France conquers Belgium,present simple,progressive
France has attacked Belgium,present perfect,perfect
France conquers Belgium,present simple,progressive
France had attacked Belgium,past perfect,perfect
France conquers Belgium,present simple,progressive
France will attack Belgium,future simple,progressive
France conquers Belgium,present simple,progressive
France attacks Belgium,present simple,progressive
France conquers Belgium,present simple,progressive
France attacked Belgium,past simple,perfect
France conquered Belgium,past simple,perfect
France is attacking Belgium,present progressive,progressive
France conquered Belgium,past simple,perfect
France was attacking Belgium,past progressive,progressive
France conquered Belgium,past simple,perfect
France has attacked Belgium,present perfect,perfect
France conquered Belgium,past simple,perfect
France had attacked Belgium,past perfect,perfect
France conquered Belgium,past simple,perfect
France will attack Belgium,future simple,progressive
France conquered Belgium,past simple,perfect
France attacks Belgium,present simple,progressive
France conquered Belgium,past simple,perfect
France attacked Belgium,past simple,perfect
France is attacking Belgium,present progressive,progressive
France is conquering Belgium,present progressive,progressive
France is attacking Belgium,present progressive,progressive
France was conquering Belgium,past progressive,progressive
France is attacking Belgium,present progressive,progressive
France has conquered Belgium,present perfect,perfect
France is attacking Belgium,present progressive,progressive
France had conquered Belgium,past perfect,perfect
France is attacking Belgium,present progressive,progressive
France will conquer Belgium,future simple,progressive
France is attacking Belgium,present progressive,progressive
France conquers Belgium,present simple,progressive
France is attacking Belgium,present progressive,progressive
France conquered Belgium,past simple,perfect
France was attacking Belgium,past progressive,progressive
France is conquering Belgium,present progressive,progressive
France was attacking Belgium,past progressive,progressive
France was conquering Belgium,past progressive,progressive
France was attacking Belgium,past progressive,progressive
France has conquered Belgium,present perfect,perfect
France was attacking Belgium,past progressive,progressive
France had conquered Belgium,past perfect,perfect
France was attacking Belgium,past progressive,progressive
France will conquer Belgium,future simple,progressive
France was attacking Belgium,past progressive,progressive
France conquers Belgium,present simple,progressive
France was attacking Belgium,past progressive,progressive
France conquered Belgium,past simple,perfect
France has attacked Belgium,present perfect,perfect
France is conquering Belgium,present progressive,progressive
France has attacked Belgium,present perfect,perfect
France was conquering Belgium,past progressive,progressive
France has attacked Belgium,present perfect,perfect
France has conquered Belgium,present perfect,perfect
France has attacked Belgium,present perfect,perfect
France had conquered Belgium,past perfect,perfect
France has attacked Belgium,present perfect,perfect
France will conquer Belgium,future simple,progressive
France has attacked Belgium,present perfect,perfect
France conquers Belgium,present simple,progressive
France has attacked Belgium,present perfect,perfect
France conquered Belgium,past simple,perfect
France had attacked Belgium,past perfect,perfect
France is conquering Belgium,present progressive,progressive
France had attacked Belgium,past perfect,perfect
France was conquering Belgium,past progressive,progressive
France had attacked Belgium,past perfect,perfect
France has conquered Belgium,present perfect,perfect
France had attacked Belgium,past perfect,perfect
France had conquered Belgium,past perfect,perfect
France had attacked Belgium,past perfect,perfect
France will conquer Belgium,future simple,progressive
France had attacked Belgium,past perfect,perfect
France conquers Belgium,present simple,progressive
France had attacked Belgium,past perfect,perfect
France conquered Belgium,past simple,perfect
France will attack Belgium,future simple,progressive
France is conquering Belgium,present progressive,progressive
France will attack Belgium,future simple,progressive
France was conquering Belgium,past progressive,progressive
France will attack Belgium,future simple,progressive
France has conquered Belgium,present perfect,perfect
France will attack Belgium,future simple,progressive
France had conquered Belgium,past perfect,perfect
France will attack Belgium,future simple,progressive
France will conquer Belgium,future simple,progressive
France will attack Belgium,future simple,progressive
France conquers Belgium,present simple,progressive
France will attack Belgium,future simple,progressive
France conquered Belgium,past simple,perfect
France attacks Belgium,present simple,progressive
France is conquering Belgium,present progressive,progressive
France attacks Belgium,present simple,progressive
France was conquering Belgium,past progressive,progressive
France attacks Belgium,present simple,progressive
France has conquered Belgium,present perfect,perfect
France attacks Belgium,present simple,progressive
France had conquered Belgium,past perfect,perfect
France attacks Belgium,present simple,progressive
France will conquer Belgium,future simple,progressive
France attacks Belgium,present simple,progressive
France conquers Belgium,present simple,progressive
France attacks Belgium,present simple,progressive
France conquered Belgium,past simple,perfect
France attacked Belgium,past simple,perfect
France is conquering Belgium,present progressive,progressive
France attacked Belgium,past simple,perfect
France was conquering Belgium,past progressive,progressive
France attacked Belgium,past simple,perfect
France has conquered Belgium,present perfect,perfect
France attacked Belgium,past simple,perfect
France had conquered Belgium,past perfect,perfect
France attacked Belgium,past simple,perfect
France will conquer Belgium,future simple,progressive
France attacked Belgium,past simple,perfect
France conquers Belgium,present simple,progressive
France attacked Belgium,past simple,perfect
France conquered Belgium,past simple,perfect
Amazon is shipping the parcel,present progressive,progressive
Amazon is bundling the parcel,present progressive,progressive
Amazon is shipping the parcel,present progressive,progressive
Amazon was bundling the parcel,past progressive,progressive
Amazon is shipping the parcel,present progressive,progressive
Amazon has bundled the parcel,present perfect,perfect
Amazon is shipping the parcel,present progressive,progressive
Amazon had bundled the parcel,past perfect,perfect
Amazon is shipping the parcel,present progressive,progressive
